,date,open,high,low,close,volume,adj_factor
772,2020-05-12,1.7857505319148936,1.8334978723404254,1.7857505319148936,1.7953,915,0.9549468085106383
773,2020-05-13,1.718904255319149,1.7953,1.718904255319149,1.7953,927,0.9549468085106383
774,2020-05-14,1.7953497326203207,1.7953497326203207,1.642554010695187,1.7858,1448,0.9549732620320855
775,2020-05-15,1.7858,1.7858,1.7858,1.7858,196,0.9549732620320855
776,2020-05-18,1.6990932124352334,1.8811968911917099,1.6990932124352334,1.843,1279,0.9549222797927461
777,2020-05-19,1.8621416666666668,1.8621416666666668,1.7189,1.7189,481,0.9549444444444445
778,2020-05-20,1.7303646315789474,1.8144,1.6711578947368422,1.8144,3023,0.9549473684210527
779,2020-05-21,1.8048977900552483,1.8144475138121545,1.7285,1.7285,1758,0.9549723756906077
780,2020-05-22,1.8811984615384616,1.8811984615384616,1.7284107692307693,1.8621,1195,0.954923076923077
781,2020-05-26,1.8621,1.8621,1.8621,1.8621,281,0.954923076923077
782,2020-05-27,1.8621,1.8621,1.8621,1.8621,453,0.954923076923077
783,2020-05-28,1.8621451612903224,1.8621451612903224,1.7762,1.7762,1146,0.9549462365591397
784,2020-05-29,1.7762474576271186,1.795346892655367,1.6807502824858755,1.6903,5846,0.9549717514124293
785,2020-06-01,1.7476,1.7476,1.7476,1.7476,772,0.9549726775956284
786,2020-06-02,1.7953135031029315,1.7953135031029315,1.785,1.785,671,0.9549539910121977
787,2020-06-03,1.723722832369942,1.723722832369942,1.6521,1.6521,2474,0.9549710982658959
788,2020-06-04,1.6521022099447513,1.7285,1.6521022099447513,1.7285,1349,0.9549723756906077
789,2020-06-05,1.8143944444444444,1.8143944444444444,1.6807022222222223,1.7189,3888,0.9549444444444445
790,2020-06-08,1.7476005405405404,1.7667,1.7380508108108108,1.7667,5045,0.9549729729729729
791,2020-06-09,1.776202105263158,1.8239494736842106,1.7303646315789474,1.8144,3503,0.9549473684210527
792,2020-06-10,1.8335,1.8335,1.8335,1.8335,353,0.9549479166666667
793,2020-06-11,1.8239989304812834,1.8239989304812834,1.7858,1.7858,828,0.9549732620320855
794,2020-06-12,1.7953,1.7953,1.7618768617021277,1.7953,640,0.9549468085106383
795,2020-06-15,1.7479346382978724,1.7953,1.7479346382978724,1.7953,747,0.9549468085106383
796,2020-06-16,1.7476039997790176,1.7619286227280258,1.7286,1.7286,3337,0.9549748632672227
797,2020-06-17,1.7857487364620939,3.3232115523465704,1.7857487364620939,2.6452,106968,0.9549458483754513
798,2020-06-18,1.8908464864864862,2.6548248648648647,1.6903021621621621,1.7667,270238,0.9549729729729729
799,2020-06-19,2.053112531969309,2.053112531969309,1.8621253196930945,1.8669,24143,0.9549360613810741
800,2020-06-22,1.7857994594594595,1.8459627567567567,1.7667,1.7667,12248,0.9549729729729729
801,2020-06-23,1.7953462857142857,1.9003931428571428,1.6712,1.6712,22947,0.9549714285714286
802,2020-06-24,1.6806952380952382,1.7093434523809525,1.5565529761904762,1.6043,8593,0.9549404761904763
803,2020-06-25,1.6520346666666665,1.890768,1.556541333333333,1.7905,72893,0.9549333333333333
804,2020-06-26,1.7571449101796408,1.7571449101796408,1.5948,1.5948,16039,0.9549700598802395
805,2020-06-29,1.67119696969697,1.7127381515151519,1.5661503030303032,1.5757,5817,0.9549696969696971
806,2020-06-30,1.6185969788519639,1.6185969788519639,1.5565268882175225,1.5804,3896,0.9549244712990936
807,2020-07-01,1.5661503030303032,1.632998181818182,1.5470509090909095,1.5757,12420,0.9549696969696971
808,2020-07-02,1.547004705882353,1.6520482352941175,1.5088070588235294,1.6234,19818,0.9549411764705882
809,2020-07-06,1.575648148148148,1.5947469135802466,1.547,1.547,3137,0.9549382716049382
810,2020-07-07,1.5470035714285717,1.6329482142857144,1.537454166666667,1.6043,5847,0.9549404761904763
811,2020-07-08,1.5470509090909095,1.613898787878788,1.5470509090909095,1.5757,2228,0.9549696969696971
812,2020-07-09,1.5566,1.5756993865030675,1.5566,1.5566,2147,0.9549693251533743
813,2020-07-10,1.566102380952381,1.6177646607142857,1.5566484702380954,1.6043,2162,0.9549404761904763
814,2020-07-13,1.6043519275517262,1.6234513552606753,1.5185,1.5185,10747,0.9549713854474561
815,2020-07-14,1.5566017751479289,1.6139,1.5184029585798817,1.6139,3608,0.9549704142011834
816,2020-07-15,1.5613742236024843,1.6138975155279502,1.5184006211180123,1.5375,14982,0.9549689440993788
817,2020-07-16,1.613850588235294,1.6234,1.6043011764705881,1.6234,1856,0.9549411764705882
818,2020-07-17,1.6043034482758618,1.6616,1.6043034482758618,1.6616,3471,0.9549425287356321
819,2020-07-20,1.6282251461988304,1.7571461988304093,1.6282251461988304,1.633,4864,0.9549707602339181
820,2020-07-21,1.6712,1.7475977142857144,1.6521005714285715,1.6712,2132,0.9549714285714286
821,2020-07-22,1.7237256830601093,1.7857989071038252,1.7179958469945356,1.7476,3335,0.9549726775956284
822,2020-07-23,1.8143956043956042,1.8143956043956042,1.6998021978021978,1.738,6182,0.9549450549450549
823,2020-07-24,1.8048714681440443,1.8048714681440443,1.690276454293629,1.7237,3168,0.9549584487534627
824,2020-07-27,1.7952978260869563,1.8048472826086954,1.7189021739130435,1.7571,2443,0.954945652173913
825,2020-07-28,1.814448087431694,1.814448087431694,1.71045156284153,1.7476,2228,0.9549726775956284
826,2020-07-29,1.6903026737967914,1.7858,1.6903026737967914,1.7858,10597,0.9549732620320855
827,2020-07-30,1.8048989189189186,1.8048989189189186,1.7667,1.7667,6577,0.9549729729729729
